label,precision,recall,f1,support
Anger,0.5555555555555556,0.375,0.44776119402985076,40
Disgust,0.6357142857142857,0.6742424242424242,0.6544117647058824,132
Enjoyment,0.7050691244239631,0.7927461139896373,0.7463414634146341,193
Fear,0.64,0.6956521739130435,0.6666666666666666,46
Other,0.5546875,0.5503875968992248,0.5525291828793775,129
Sadness,0.76,0.6551724137931034,0.7037037037037037,116
Surprise,0.7096774193548387,0.5945945945945946,0.6470588235294118,37
