label,precision,recall,f1,support
Anger,0.45454545454545453,0.5,0.47619047619047616,40
Disgust,0.6046511627906976,0.5909090909090909,0.5977011494252874,132
Enjoyment,0.743455497382199,0.7357512953367875,0.7395833333333334,193
Fear,0.6415094339622641,0.7391304347826086,0.6868686868686869,46
Other,0.5491803278688525,0.5193798449612403,0.5338645418326693,129
Sadness,0.7033898305084746,0.7155172413793104,0.7094017094017094,116
Surprise,0.6111111111111112,0.5945945945945946,0.6027397260273972,37
