label,precision,recall,f1,support
Anger,0.5,0.45,0.47368421052631576,40
Disgust,0.5655172413793104,0.6212121212121212,0.592057761732852,132
Enjoyment,0.7357512953367875,0.7357512953367875,0.7357512953367875,193
Fear,0.6458333333333334,0.6739130434782609,0.6595744680851063,46
Other,0.5508474576271186,0.5038759689922481,0.5263157894736842,129
Sadness,0.6722689075630253,0.6896551724137931,0.6808510638297872,116
Surprise,0.6764705882352942,0.6216216216216216,0.647887323943662,37
